date;open;close;adjClose;high;low;volume
14.05.2013;29050;5.78;28900;29600;28650;4000
15.05.2013;29450;5.86;29300;29900;28800;4200
16.05.2013;29700;5.97;29850;30450;29050;4400
17.05.2013;29550;5.65;28250;29650;28100;5000
20.05.2013;29000;5.81;29050;29100;28150;3700
21.05.2013;28800;5.9;29500;29950;28550;4400
22.05.2013;29050;6.04;30200;31150;28650;9200
23.05.2013;33050;6.11;30550;33150;30250;9000
24.05.2013;31400;6.11;30550;31750;30350;4200
28.05.2013;28750;5.78;28900;29850;28400;4800
29.05.2013;29900;5.960001;29800;31150;29400;5800
30.05.2013;30000;5.960001;29800;30650;29200;4400
31.05.2013;30400;6.34;31700;31950;29700;6300
03.06.2013;31700;6.33;31650;35100;31550;9400
04.06.2013;32100;6.49;32450;34400;31550;6500
05.06.2013;33650;7.03;35150;35450;33050;7800
06.06.2013;35750;6.880001;34400;39100;34300;8300
07.06.2013;32400;6.25;31250;33400;31100;800
10.06.2013;30415;61.060005;30530;31525;30175;9100
11.06.2013;33030;69.210007;34605;34960;31885;9100
12.06.2013;32990;77.25;38625;39385;32820;11200
13.06.2013;38580;69.770004;34885;39600;34510;10500
14.06.2013;35145;73.490005;36745;37050;33570;9100
17.06.2013;34990;70.490005;35245;36750;34525;8500
18.06.2013;35020;68.580002;34290;35345;34275;6900
19.06.2013;34870;68.480003;34240;35390;31170;13000
20.06.2013;37090;84.400002;42200;44375;36800;17100
21.06.2013;39490;78.129997;39065;43935;38500;13200
24.06.2013;43140;87.470001;43735;44920;41220;11900
25.06.2013;40995;82.220001;41110;43030;40565;8000
26.06.2013;39100;78.68;39340;40945;39005;7700
27.06.2013;37410;72.400002;36200;38060;36100;7900
28.06.2013;37590;71.690002;35845;38190;34635;8900
01.07.2013;34725;66.970001;33485;34870;32275;6700
02.07.2013;34330;69.099998;34550;35545;32750;7800
03.07.2013;35260;67.480003;33740;35585;33340;5000
05.07.2013;32000;60.570004;30285;33075;30285;8400
08.07.2013;28600;55.260006;27630;28875;27250;9000
09.07.2013;26070;52.710003;26355;26820;25810;6300
10.07.2013;26355;51.560005;25780;26610;25555;7500
11.07.2013;24165;48.860001;24430;25025;23965;8000
12.07.2013;24455;49.820004;24910;25255;24200;5700
15.07.2013;24440;47.639999;23820;24850;23505;4300
16.07.2013;23730;50.080002;25040;25605;23645;8300
17.07.2013;24415;46.760002;23380;24890;23305;7300
18.07.2013;22960;45.100002;22550;23175;22025;7500
19.07.2013;22900;43.240002;21620;23470;21365;7600
22.07.2013;21305;41.310001;20655;21750;20520;7100
23.07.2013;20260;40.960003;20480;21175;19945;7700
24.07.2013;20175;41.990002;20995;21410;20125;7700
25.07.2013;21420;39.990002;19995;21500;19850;6900
26.07.2013;20405;39.610001;19805;21095;19695;6500
29.07.2013;20215;40.530003;20265;20700;19845;4700
30.07.2013;20150;39.09;19545;20560;19470;6000
31.07.2013;19460;37.400002;18700;19520;17845;10300
01.08.2013;17700;35.09;17545;17900;17400;8500
02.08.2013;17565;33.330002;16665;17605;16595;8700
05.08.2013;16530;32.450001;16225;16720;16120;6600
06.08.2013;16390;34.400002;17200;17440;16290;9600
07.08.2013;17740;35.100002;17550;18490;17350;10900
08.08.2013;16905;33.930004;16965;17735;16750;7800
09.08.2013;17050;34.950001;17475;17830;16735;10300
12.08.2013;18220;34.570004;17285;18280;17130;8400
13.08.2013;16980;33.950001;16975;17760;16755;9100
14.08.2013;16760;34.600002;17300;17325;16605;8500
15.08.2013;18440;37.990002;18995;19175;18260;15600
16.08.2013;18975;36.730003;18365;19095;17750;13700
19.08.2013;18525;38.700001;19350;19500;18280;8700
20.08.2013;19515;37.700001;18850;19760;17935;10500
