UVXY
date;open;high;low;close;volume;adjClose
13.02.2013;49450;51900;48400;10,070001;3100;50350
14.02.2013;50850;51450;48200;9,740001;2700;48700
15.02.2013;47750;50150;47350;9,6;3500;48000
19.02.2013;47250;47300;43550;8,76;3800;43800
20.02.2013;44150;51750;44000;10,31;4700;51550
21.02.2013;51200;56950;51200;10,63;7000;53150
22.02.2013;50750;52750;49500;9,91;3300;49550
25.02.2013;46250;64300;45000;12,650001;8500;63250
26.02.2013;61550;69200;57750;11,990001;10600;59950
27.02.2013;60750;62000;49550;10,31;6400;51550
28.02.2013;51350;54750;49650;10,93;5300;54650
01.03.2013;59650;62450;54450;11,26;8800;56300
04.03.2013;57950;58500;50200;10,06;5200;50300
05.03.2013;47100;48100;46500;9,400001;4200;47000
06.03.2013;45850;49200;45750;9,47;4800;47350
07.03.2013;47050;47900;45500;9,1;3900;45500
08.03.2013;43950;46900;43750;8,86;5400;44300
11.03.2013;44200;44600;40500;8,13;5400;40650
12.03.2013;40700;44300;40200;8,36;6600;41800
13.03.2013;41500;43250;40750;8,26;4800;41300
14.03.2013;40300;41250;39500;7,970001;4100;39850
15.03.2013;40200;41500;39300;7,93;4500;39650
18.03.2013;44800;45000;40400;8,780001;7400;43900
19.03.2013;41950;48500;41550;8,780001;11600;43900
20.03.2013;40850;41700;39000;7,86;7100;39300
21.03.2013;41300;42500;39350;8,29;7100;41450
22.03.2013;40000;42500;39700;8,240001;5600;41200
25.03.2013;39050;42500;38000;8,02;9600;40100
26.03.2013;38800;39750;37600;7,58;6300;37900
27.03.2013;39850;40450;38150;7,74;5800;38700
28.03.2013;38450;39150;38150;7,69;4000;38450
01.04.2013;38100;39500;37800;7,73;4200;38650
02.04.2013;37550;37800;36250;7,25;5000;36250
03.04.2013;36200;39550;35750;7,75;6800;38750
04.04.2013;38650;40700;37500;7,52;6700;37600
05.04.2013;41750;42150;37750;7,570001;6800;37850
08.04.2013;37150;38250;35650;7,16;4800;35800
09.04.2013;35100;36250;34050;6,95;5200;34750
10.04.2013;34000;34250;32750;6,570001;4900;32850
11.04.2013;32650;33150;31500;6,52;4200;32600
12.04.2013;33450;34050;31300;6,28;4700;31400
15.04.2013;31850;41050;30900;7,75;13100;38750
16.04.2013;34700;36100;31750;6,39;7800;31950
17.04.2013;34450;41700;34400;7,880001;13100;39400
18.04.2013;39200;44750;39000;8,56;10400;42800
19.04.2013;41600;42150;36000;7,33;6600;36650
22.04.2013;37100;38850;34500;7,03;5300;35150
23.04.2013;32900;38150;31250;6,29;7100;31450
24.04.2013;31650;32300;30800;6,38;3900;31900
25.04.2013;31100;32850;30850;6,46;4600;32300
26.04.2013;33150;33950;32150;6,48;4900;32400
29.04.2013;31450;32500;31000;6,41;3900;32050
30.04.2013;32050;33100;31250;6,3;4400;31500
01.05.2013;32000;34150;31800;6,820001;6400;34100
02.05.2013;32900;33200;31500;6,36;5500;31800
03.05.2013;30350;30950;30100;6,08;4700;30400
06.05.2013;30350;30500;29050;5,87;3900;29350
07.05.2013;28550;29700;28300;5,76;3200;28800
08.05.2013;29350;30350;28850;5,83;3400;29150
09.05.2013;29700;31450;29500;6,05;6400;30250
10.05.2013;30700;31350;29650;5,94;4600;29700
13.05.2013;29800;30350;29200;5,86;3400;29300
14.05.2013;29050;29600;28650;5,78;4000;28900
15.05.2013;29450;29900;28800;5,86;4200;29300
16.05.2013;29700;30450;29050;5,97;4400;29850
17.05.2013;29550;29650;28100;5,65;5000;28250
20.05.2013;29000;29100;28150;5,81;3700;29050
21.05.2013;28800;29950;28550;5,9;4400;29500
22.05.2013;29050;31150;28650;6,04;9200;30200
23.05.2013;33050;33150;30250;6,11;9000;30550
24.05.2013;31400;31750;30350;6,11;4200;30550
28.05.2013;28750;29850;28400;5,78;4800;28900
29.05.2013;29900;31150;29400;5,960001;5800;29800
30.05.2013;30000;30650;29200;5,960001;4400;29800
31.05.2013;30400;31950;29700;6,34;6300;31700
03.06.2013;31700;35100;31550;6,33;9400;31650
04.06.2013;32100;34400;31550;6,49;6500;32450
05.06.2013;33650;35450;33050;7,03;7800;35150
06.06.2013;35750;39100;34300;6,880001;8300;34400
07.06.2013;32400;33400;31100;6,25;800;31250
10.06.2013;30415;31525;30175;61,060005;9100;30530
11.06.2013;33030;34960;31885;69,210007;9100;34605
